"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Saroha, S.","Saroha, Sarup (59228243900)","59228243900","Artificial Intelligence in Medical Education: Promise, Pitfalls, and Practical Pathways","2025","Advances in Medical Education and Practice","16","","","1039","1046","12","10.2147/AMEP.S523255","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008725294&doi=10.2147%2FAMEP.S523255&partnerID=40&md5=bd0f5aa95cc22a487c7b44981a50556a","Artificial intelligence (AI) is transforming healthcare, yet its integration into medical education remains limited. As AI-powered tools increasingly assist with diagnostics, administrative tasks, and clinical decision-making, future doctors must have the knowledge and skills to use them effectively. This article explores the role of AI in medical education, highlighting its potential to enhance efficiency, improve patient care, and foster innovation while addressing ethical and safety concerns. The widespread adoption of AI presents both opportunities and challenges. While AI-driven transcription tools reduce administrative burdens and machine learning algorithms enhance diagnostic accuracy, the risks of over-reliance, algorithmic bias, and patient data security remain critical concerns. To navigate these complexities, medical schools must incorporate AI-focused training into their curricula, ensuring graduates can critically assess and safely apply AI technologies in clinical practice. However, AI should not be seen as the only solution; non-technological improvements to clinical workflows must also be considered in parallel. This article proposes practical solutions, including optional AI modules, hands-on training with AI-powered diagnostic tools, and interdisciplinary collaboration through innovation laboratories. By embedding AI education into medical training, institutions can prepare students for a rapidly evolving healthcare landscape, ensuring AI is a tool for improved patient outcomes, not a source of unintended harm. As AI reshapes medicine, equipping future doctors with the skills to use it responsibly is essential for fostering a healthcare system that is efficient, ethical, and patient-centred. © 2025 Saroha.","clinical training; diagnostic AI; healthcare innovation; medical decision support; medical education; medical technology","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105008725294"
"Cutillas, A.L.; Balili, E.E.; Rellin, E.C.; Remo, M.H.; Quindala, E.S.; Bacalso, F.D.","Cutillas, Anesito L. (58561009500); Balili, Enrique E. (59952661500); Rellin, Evangeline C. (59949787500); Remo, Mariel H. (59952250100); Quindala, Estrella S. (59952550500); Bacalso, Fritz D. (59949308200)","58561009500; 59952661500; 59949787500; 59952250100; 59952550500; 59949308200","Analyzing alternative academic assessments (AAAs) in universities with cheat-proofing behaviors and instructor-formulated mechanics in an AI-dependent setting","2025","Environment and Social Psychology","10","5","3265","","","1","10.59429/esp.v10i5.3265","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008455354&doi=10.59429%2Fesp.v10i5.3265&partnerID=40&md5=45e98f0beca7ded212d299187a04f2f9","The rapid advancement of artificial intelligence (AI) has profoundly disrupted the education system, reshaping how knowledge is accessed, delivered, and assessed. Tools such as ChatGPT and other generative AI models have revolutionized academic practices by offering instantaneous information retrieval, personalized tutoring, automated grading, and content creation. This paper investigated the strategies employed by higher education instructors in evaluating student outputs in light of the challenges posed by AI to learners’ critical thinking abilities and cognitive development. A total of 22 instructors from higher education institutions in Central Visayas, Philippines, were purposively selected to participate in one-on-one interviews. The findings revealed a profound shift in the academic assessment landscape of higher education due to the use of AI technologies. Instructors expressed heightened concern over academic dishonesty, intellectual disengagement, and over-reliance on AI, fearing that students were bypassing essential cognitive processes and undermining the authenticity of their academic outputs. These concerns prompted instructors to adopt Alternative Assessment Approaches (AAAs) designed to reinforce academic integrity and critical thinking. Key strategies included real-world reflective tasks that demand contextualized knowledge application, scaffolded assignments that track the learning process, timed assessments to limit AI interference, and the use of reflective journals to build metacognitive awareness. The pervasive use of AI challenges traditional assessment methods, prompting educators to adopt more process-oriented, reflective, and context-based strategies that prioritize critical thinking and authentic engagement. Policy reforms may be necessary to guide ethical AI use and ensure assessments continue to serve as valid measures of student understanding and intellectual growth. © 2025 by author(s).","academic dishonesty; AI dependency; artificial intelligence; learning assessment","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105008455354"
"Fahmy Yousef, A.M.; Elhag, A.; Raja Hussain, R.M.; Khatiry, A.R.; Al-Saadi, Z.; Khalil, H.","Fahmy Yousef, Ahmed Mohamed (59951581100); Elhag, Abdelrahman (59951736100); Raja Hussain, Raja Maznah (36992588500); Khatiry, Ahmed Ramadan (57219051079); Al-Saadi, Zulaikha Talib (57217082747); Khalil, Hanan (59412828300)","59951581100; 59951736100; 36992588500; 57219051079; 57217082747; 59412828300","Insights from Faculty and Students on AI Assessment Practices: Threat or Opportunity?","2025","International Conference for Artificial Intelligence: Applications, Innovation and Ethics, AI2E 2025","","","","","","0","10.1109/AI2E64943.2025.10983074","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008416947&doi=10.1109%2FAI2E64943.2025.10983074&partnerID=40&md5=1214c5dcae83e979c019b68623a9e065","Artificial Intelligence (AI) is transforming educational assessment, by offering innovative solutions to evaluate student learning outcomes effectively. This study seeks to explore faculty and students' perspective on AI's impact on assessment, focusing on whether it enhances or detracts assessment practices. Using a mixed-methods research design, it combines quantitative approach with quantitative data analysis to gain a comprehensive view of faculty and students' perspectives on the impact of AI in assessment processes. Data were collected from 12 university professors and a random sample of 35 students across various academic departments. The analysis revealed a broad agreement between the faculty and students on the advantages of AI in assessments, particularly in enhancing grading speed, accuracy, and feedback. However, considerable concerns were raised, like diminished critical thinking and problem-solving skills and over-reliance on technology. As a result, AI has the potential to either enhance or harm assessment practices, depending on how it is managed. This implies that AI should be integrated into educational assessment thoughtfully, improving efficiency without replacing human judgment or critical thinking, to ensure that it supports rather than detracts from the core educational mission. © 2025 IEEE.","AI; artificial intelligence; assessment; ChatGPT; online learning","E-learning; Education computing; Engineering education; Students; Teaching; Assessment; Assessment practices; ChatGPT; Critical thinking; Educational assessment; Innovative solutions; Mixed-methods research; Online learning; Student learning outcomes; Student perspectives; Problem solving","Conference paper","Final","","Scopus","2-s2.0-105008416947"
"Morrice, A.; Deering, S.; Kemsley, A.; Judge, S.","Morrice, Anya (57219324648); Deering, Sarah (57312775600); Kemsley, Alex (59950661900); Judge, Sophie (59950869700)","57219324648; 57312775600; 59950661900; 59950869700","Making use of AI in the Classics classroom","2025","Journal of Classics Teaching","26","52","","142","150","2","10.1017/S205863102500008X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008404158&doi=10.1017%2FS205863102500008X&partnerID=40&md5=59c1d208b3b42926af5cda438377778c","This article follows a session on 'Using AI in the Classics Classroom' delivered at the University of Cambridge Mentors' Day for the Classics PGCE (Initial Teacher Education programme). The first half of the article provides a brief introduction to how generative AI operates and the impact AI has had on education in the UK. In addition, this section considers the advantages of AI for educators in supporting PGCE students and early career teachers, aiding with planning and resource creation as well as the advantages for pupils. It also sets out practical limitations such as AI hallucinations, biases, database limitations, data protection concerns, and the potential risks of pupils developing reliance on AI usage and how teachers can avoid this. The second half of this article provides guidance and examples of how teachers can use AI to support their workload outside of the classroom and for using AI with pupils in the classroom. This includes advice on how to improve AI prompts, example prompts, and prompt scaffolds, as well as recommendations of AI tools for teachers to use in the classroom. © The Author(s), 2025. Published by Cambridge University Press on behalf of The Classical Association.","artificial intelligence; SAMR; teaching and learning; technology","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105008404158"
"Alhiane, M.; Nafidi, Y.","Alhiane, Mina (59951092700); Nafidi, Youssef (57201657025)","59951092700; 57201657025","SWOT Analysis of the Use of Artificial Intelligence Technologies in K-12 Education","2025","TEM Journal","14","2","","1355","1366","1","10.18421/TEM142-36","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008391228&doi=10.18421%2FTEM142-36&partnerID=40&md5=336393b7b006641facba4e08181d1fa7","Artificial intelligence (AI) technologies are becoming a common trend in educational research. To reach the full potential of these technologies, a comprehensive overview is needed to establish a theoretical basis for empirical studies. Guided by the SWOT framework, Positive and negative factors of using AI technologies in K–12 education are described in the current study. The results reveal multiple strengths and opportunities. Indeed, AI excels at analyzing vast volumes of educational data, and it is adaptable enough to fit in with pre-existing frameworks of technology integration in education. AI opportunities include the possibility of creating new learning experiences without space-time limits, and skills development such as curiosity, collaboration, and critical thinking. The literature review also identifies negative factors linked to the the application of AI technologies in K–12 education, namely, weaknesses related to the lack of organizational support, practitioners’ trust in AI, and the veracity of the results. The threats revealed by the selected literature are generally linked to ethics. Based on these results, a SWOT matrix has been developed and a set of recommendations for the benefit of educators and policy-makers has been provided. © 2025 Mina Alhiane & Youssef Nafidi; published by UIKTEN. This work is licensed under the Creative Commons Attribution-NonCommercial-NoDerivs 4.0 License.","Artificial intelligence; educational technologies; K-12 education; SWOT analysis","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105008391228"
"Döğer, M.F.; Göçen, A.","Döğer, Mehmet Fatih (59661950600); Göçen, Ahmet (55935024400)","59661950600; 55935024400","Artificial intelligence (AI) as a new trajectory in education","2025","Journal of Educational Research","118","6","","581","595","3","10.1080/00220671.2025.2510391","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008284696&doi=10.1080%2F00220671.2025.2510391&partnerID=40&md5=007c208daf81ec6ef02740db5f5a87b3","This study explores how K–12 teachers from 15 eTwinning countries perceive and integrate AI tools into their classrooms, highlighting both opportunities and challenges. Using a qualitative case-study design with semi-structured interviews, we combined criterion and maximum-variation sampling to capture a range of country contexts. Participants reported that AI streamlines tasks such as lesson planning, assessment, content creation, enhancing project planning and cross-cultural collaboration while fostering 21st-century skills (the 4Cs). However, they also raised sociological and ethical concerns around privacy, bias, overreliance, AI-driven capitalism, and digital divides that persist in K–12 schools. Our findings offer best-practice insights for early adopters and a roadmap for broader professional development and teaching configuration for the coming decades. Key implications include designing tiered training programs, developing clear ethical guidelines, explainable AI developments and advocating infrastructural investments to bridge persistent gaps. © 2025 Taylor & Francis Group, LLC.","Artificial intelligence (AI); digital divide; ethics; K–12 schools; teacher perspectives","","Article","Final","","Scopus","2-s2.0-105008284696"
"Bhatt, V.; Yu, Z.; Hou, Y.; Jin, J.","Bhatt, Vishwa (59946496300); Yu, Zhixin (59946855900); Hou, Yunfei (55695533300); Jin, Jennifer Kim (57450409100)","59946496300; 59946855900; 55695533300; 57450409100","ChatGPT as a Programming Tutor: Student Perceptions, Effectiveness, and Challenges","2025","IEEE Global Engineering Education Conference, EDUCON","","","","","","0","10.1109/EDUCON62633.2025.11016463","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008223611&doi=10.1109%2FEDUCON62633.2025.11016463&partnerID=40&md5=adbc66aad59c1b16a6fca081127e83d6","This research examines the impact of ChatGPT on computer science education, focusing on its application in learning programming languages like SQL, C++, Python, and C#. Through a survey of 149 university students, the study identifies both the advantages and challenges of using ChatGPT as a virtual lab assistant. The results show that ChatGPT offers considerable assistance to students, especially in providing prompt feedback, facilitating debugging, and clarifying complex programming concepts. However, the research also points out significant challenges, including the potential for over-reliance on AI tools and worries about the accuracy of the responses generated by AI. Several students reported experiencing misleading or incomplete information from ChatGPT, indicating a need for enhancements in its accuracy and dependability. To address these challenges, the study proposes a transition from assignments focused on theory to personalized, project-based activities that foster independent problem-solving. In summary, this research sheds light on the advantages and obstacles of incorporating ChatGPT into computer science courses. Although ChatGPT provides beneficial support for learning, its function should be supplementary rather than central to programming education. The results highlight the necessity of thoughtful integration, promoting self-directed learning while utilizing AI's capabilities to foster engagement and offer immediate assistance. © 2025 IEEE.","AI accuracy; AI dependency; ChatGPT; Generative AI; Programming education; Programming Tutor","Computation theory; Computer aided instruction; Computer programming languages; Curricula; E-learning; Education computing; Engineering education; Mathematical programming; Students; Teaching; AI accuracy; AI dependency; ChatGPT; Computer Science Education; Generative AI; ITS applications; Learning programming; Programming education; Programming tutors; Student perceptions; Problem solving","Conference paper","Final","","Scopus","2-s2.0-105008223611"
"Rana, S.P.; Dey, M.; Patel, P.; Requena, J.; Fu, C.","Rana, Soumya Prakash (57201096589); Dey, Maitreyee (59874493500); Patel, Preeti (35103269800); Requena, Jesus (59947167400); Fu, Colin (59946797100)","57201096589; 59874493500; 35103269800; 59947167400; 59946797100","Prompting and Rag Vs. Student Engagement and Comprehension in Educational Technology","2025","IEEE Global Engineering Education Conference, EDUCON","","","","","","0","10.1109/EDUCON62633.2025.11016579","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008221550&doi=10.1109%2FEDUCON62633.2025.11016579&partnerID=40&md5=c69194ae456324a8ab4a30b4ac3a7c4f","Generative AI (GenAI) has emerged as a valuable tool in education technology, offering potential to enhance learning and teaching processes. While concerns like fraudulent practices, algorithmic bias, privacy issues, and overreliance on technology persist, GenAI's benefits are significant when used strategically. It is essential, however, to view GenAI as a supplementary aid for students and educators rather than a replacement for human-led teaching. Effective use of GenAI requires thoughtful implementation, including techniques like prompting and retrieval-augmented generation (RAG). Prompting involves formulating questions or tasks for the AI, while RAG enhances the AI's ability to retrieve relevant information based on its training. This study focuses on the relationship between GenAI and students, excluding educators' roles. A mixed-method survey evaluated students' interactions with GenAI-generated answers in two scenarios: one where they had prior topic knowledge and another where they did not. Five chatbots-ChatGPT, Gemini, Copilot, Perplexity AI, and Sana AI-were tested with varied prompts. Results showed that students benefit most when they are engaged and have foundational topic knowledge. These findings underscore the role of educators in fostering student engagement and guiding effective GenAI use. By prioritizing understanding, educators ensure GenAI enhances learning, reinforcing that AI should support, not replace, education. © 2025 IEEE.","","Education computing; Engineering education; Personnel training; Students; Teaching; Algorithmics; Education technology; Enhance learning; Learning and teachings; Learning process; Mixed method; Privacy issue; Student engagement; Student interactions; Teaching process; Educational technology","Conference paper","Final","","Scopus","2-s2.0-105008221550"
"Park, S.M.; Ho, M.; Lin, M.P.-C.; Ryoo, J.","Park, Seong-min (59946730200); Ho, Marco (59946547300); Lin, Michael Pin Chuan (57200993050); Ryoo, Jeeho (59865676000)","59946730200; 59946547300; 57200993050; 59865676000","Evaluating the Impact of Assistive AI Tools on Learning Outcomes and Ethical Considerations in Programming Education","2025","IEEE Global Engineering Education Conference, EDUCON","","","","","","1","10.1109/EDUCON62633.2025.11016517","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008221306&doi=10.1109%2FEDUCON62633.2025.11016517&partnerID=40&md5=9dbf707f4b1a3b5e45b7e855ae0da490","This study critically evaluates the efficacy of GitHub Copilot in low-level programming education, specifically within C programming tasks involving complex concepts like memory management and pointer manipulation. While AI tools have shown promise in supporting high-level programming, its impact on skill-intensive, low-level contexts remains underexplored. We conducted a within-subject experimental study with 34 graduate computer science students, assessing performance on AI -assisted and independent tasks. Statistical analyses revealed that Copilot, one of the AI programming tools, enhances productivity in routine coding activities; however, it is insufficient for tasks requiring deep problem-solving skills. Notably, a significant performance decline in AI-free tasks suggests a dependency on Copilot that may hinder the development of essential independent problem-solving abilities. Survey feedback underscores ethical concerns, with 40.6% of students expressing uncertainty about responsible AI usage and potential over-reliance. These findings highlight the ne-cessity for structured instructional practices, including AI-free assessments and clear ethical guidelines, to promote balanced technology integration in programming education. This study contributes to educational theory by illuminating the limitations of generative AI within constructivist and self-regulated learning frameworks. Future research should explore the long-term effects of AI dependency on technical skill development and investigate AI advancements tailored for low-level programming to better support foundational skills. © 2025 IEEE.","Academic Integrity in AI; AI-Assisted Learning; C Programming; Constructivist Learning; Dependency in Learning; Educational Technology Ethics; GitHub Copilot; Program-ming Education; Self-Regulated Learning","Artificial intelligence; Computer aided instruction; Education computing; Educational technology; Engineering education; Ethical technology; Learning systems; Programming theory; Academic integrity; Academic integrity in AI; AI-assisted learning; C++ programming; Constructivist learning; Dependency in learning; Educational technology ethic; Github copilot; Program-ming education; Self-regulated learning; Students","Conference paper","Final","","Scopus","2-s2.0-105008221306"
"Amante Garcia, B.A.; García, C.A.","Amante Garcia, Beatriz (57171620600); García, Cristina Amante (59947145600)","57171620600; 59947145600","Artificial Intelligence as a Tool in Project Management Education","2025","IEEE Global Engineering Education Conference, EDUCON","","","","","","0","10.1109/EDUCON62633.2025.11016536","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008213468&doi=10.1109%2FEDUCON62633.2025.11016536&partnerID=40&md5=f8f1ec87730bc872bf157a231459e5b1","The integration of artificial intelligence (AI) tools in project management education is profoundly transforming teaching practices, creating numerous opportunities, and introducing challenges that require systematic attention. This analysis explores the advantages, potential drawbacks, and broader implications of teaching students to use AI effectively and ethically in this field, aiming to enhance both academic and professional outcomes. One of the most significant benefits of incorporating AI in education is its ability to streamline various tasks, such as report writing and structuring, automating evaluation and analysis processes, and identifying areas for academic improvement. These capabilities allow students to focus on more strategic aspects of their projects while leveraging AI for efficiency. For instance, students can use AI to brainstorm innovative ideas, draft detailed and well-organized project plans, and conduct advanced simulations. These tools can bring theoretical concepts to life, bridging the gap between classroom learning and real-world applications. Furthermore, the use of AI fosters the development of critical digital skills that are increasingly vital in today's competitive job market, ensuring that students remain adaptable and resourceful as they enter the workforce. Nevertheless, the integration of AI also presents notable challenges. One primary concern is the potential for over-reliance on these tools, which could hinder the development of essential skills such as critical thinking, problem-solving, and analytical reasoning. Students may become dependent on AI-generated solutions, limiting their ability to approach problems independently. Additionally, inadequate technological literacy may lead to misinterpretations, inefficient use of tools, or even unintentional plagiarism, emphasizing the need for comprehensive education on the responsible use of AI. Addressing these challenges requires a deliberate focus on teaching students how to use AI tools effectively and ethically. This involves providing structured instruction on the limitations of AI, strategies for validating AI-generated information, and practical methods for integrating these tools into specific project management contexts. By understanding the strengths and weaknesses of AI, students can leverage it as a supportive resource rather than a replacement for human creativity and judgment. In conclusion, while the integration of AI in project management education offers transformative potential, its success depends on equipping students with the knowledge and skills to use these tools strategically and responsibly. This approach will help to practice and improve both transversal and specific skills, highlighting oral and written expression, ethics, planning, synthesis, among others. It ensures that AI serves as an enabler of innovation and effective problem-solving, rather than a barrier to personal and professional growth. This holistic development framework emphasizes the significance of diverse competencies, fostering a well-rounded and adaptive skill set in an evolving landscape. © 2025 IEEE.","AI Ethics; Artificial Intelligence; Critical Thinking; Digital Skills; Educational Challenges; Learning Enhancement; Project Management Education; Report Writing; Simulation Tools","E-learning; Education computing; Employment; Engineering education; Information management; Integration; Project management; Students; Teaching; Artificial intelligence ethic; Artificial intelligence tools; Critical thinking; Digital skills; Educational challenge; Learning enhancements; Problem-solving; Project management education; Report writing; Simulation tool; Artificial intelligence","Conference paper","Final","","Scopus","2-s2.0-105008213468"
"Mohammed, C.; Rocke, S.","Mohammed, Crista (57201060607); Rocke, Sean A. (53864095700)","57201060607; 53864095700","Electrical and Computer Engineering Freshmen and Generative AI: Awareness, Attitudes, and Ethics","2025","IEEE Global Engineering Education Conference, EDUCON","","","","","","0","10.1109/EDUCON62633.2025.11016545","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008212574&doi=10.1109%2FEDUCON62633.2025.11016545&partnerID=40&md5=90048b0573ee754f0985243d90af7a9a","We are responding to calls for students to be trained in using generative AI (GAI). But training must take account of what students know; their prevailing attitudes; and their ethics with respect to using GAI. And knowing what our students know about GAI gives instructors an opportunity to co-construct meaningful teaching and learning moments. A class of 103 students, enrolled in the course Communication in the Engineering Sciences, in our BSc program in Electrical and Computer Engineering, was probed on their use of generative AI. The study draws on two datasets - student responses to a case study on unethical use of GAI and a questionnaire gathering qualitative data. Questionnaire responses reveal that generally students understand the basics of how GAI works. But this understanding is flawed, for example some students erroneously believe that GAI draws in real time from the Internet. Most respondents have used GAI in their studies, particularly to clarify concepts and summarize. We did not find widespread use of GAI for higher cognitive tasks. But this we suspect is linked to program sequencing: as students advance in their program more sophisticated uses of GAI are likely. This supports the need for longitudinal studies which track use in relation to program advancement. Like peers elsewhere, this class expressed concern about GAI's ability to propagate misinformation and bias; GAI-facilitated plagiarism; data privacy; and overreliance leading to impairment of learning. As it relates to whether GAI qualifies as an author, students demonstrated a fairly nuanced understanding of this complex issue. One student felt that this was a gray area, citing that even outside of GAI generated content, scholars build on each other's work to such an extent that the originality of any work can be questioned. In case study responses, all 103 students agreed that using GAI without permission is dishonest. Respondents noted that students, instructors, and university administration each have a responsibility to ensure that GAI is not misused. And like peers elsewhere, they welcome institutional policy and guidance on using GAI. © 2025 IEEE.","academic honesty; engineering education; ethics; freshmen; generative AI","Artificial intelligence; Curricula; Data privacy; Education computing; Students; Teaching; Academic honesty; Case-studies; Electrical and computer engineering; Engineering Freshman; Engineering science; Freshman; Generative AI; Qualitative data; Student response; Teaching and learning; Engineering education","Conference paper","Final","","Scopus","2-s2.0-105008212574"
"Chen, Y.; Chai, K.K.; Loo, J.; Moosaei, R.; Obstfeld, J.","Chen, Yue (7601438779); Chai, Kok Keong (54388544400); Loo, Jonathan Kok Keng (36652697900); Moosaei, Reza (58684955300); Obstfeld, Joel (56368360800)","7601438779; 54388544400; 36652697900; 58684955300; 56368360800","GenAI-Empowered Group-Based Authentic Assessment for Network Engineering Courses","2025","IEEE Global Engineering Education Conference, EDUCON","","","","","","1","10.1109/EDUCON62633.2025.11016382","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008194072&doi=10.1109%2FEDUCON62633.2025.11016382&partnerID=40&md5=afaee8a7f3308dd8d31879d0e357c2c7","The emergence of generative artificial intelligence (GenAI) has brought both challenges and opportunities for education. In this paper, we propose a GenAI-empowered, group-based authentic assessment for a Network Engineering course. This group assignment promotes challenge-based learning (CBL) and leverages GenAI to enhance students' creativity, critical thinking, collaboration, and technical problem-solving skills, while also improving students' GenAI literacy through fostering their ability to effectively engage with GenAI tools. The authenticity of this assignment is reflected in two folds: 1) students engage in a real-world engineering challenge, roleplaying as network engineers, and 2) they develop essential skills for co-creating solutions using GenAI tools, a key competency for future engineers. The group assignment is structured into five stages, each aligned with Bloom's Taxonomy to progressively develop cognitive skills from understanding foundational knowledge to synthesis, evaluation, and creation. To mitigate challenges such as overreliance on GenAI tools and varying levels of digital literacy, we provide guidance on the responsible and ethical use of GenAI, design reflective assessment tasks with constructive feedback, and establish clear marking criteria that emphasise both the learning process and the final outputs of the assignment. Initial evaluation and feedback from trials have highlighted the effectiveness of using GenAI tools in addressing complex engineering challenges and the value of collaborating in a real-world engineering context. This innovative approach demonstrates the potential of GenAIempowered authentic assessments to enhance learning experiences in technical fields like Network Engineering. © 2025 IEEE.","Authentic Assessment; ChallengedBased Learning; GenAI; Group-Based Learning; Network Engineering","Authentication; Curricula; E-learning; Engineering education; Engineers; Feedback; Human engineering; Learning systems; Students; Technical presentations; Artificial intelligence tools; Authentic assessment; Challengedbased learning; Engineering course; Generative artificial intelligence; Group assignments; Group-based; Group-based learning; Network engineering; Real-world; Problem solving","Conference paper","Final","","Scopus","2-s2.0-105008194072"
"Bannister, P.; Santamaría-Urbieta, A.S.; Alvira, N.B.","Bannister, Peter (55966218200); Santamaría-Urbieta, Alexandra (57210928184); Alvira, Nuria Brufau (58937859900)","55966218200; 57210928184; 58937859900","Appraising higher education assessment validity: Development of the PANDORA GenAI Susceptibility Rubric","2025","Journal of Applied Learning and Teaching","8","1","","41","55","1","10.37074/jalt.2025.8.1.20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007871614&doi=10.37074%2Fjalt.2025.8.1.20&partnerID=40&md5=59586ce36eec29de21ba324614743d46","This paper presents the development and application of the PANDORA GenAI Susceptibility Rubric, a novel tool designed to assess the susceptibility of higher education assessments to the undeclared use of generative artificial intelligence (GenAI) tools. In response to growing concerns about academic integrity and the rising sophistication of GenAI technologies, the rubric provides educators with a structured framework to critically evaluate the validity of their assessments across key criteria, including collaborative authorship, intellectual task complexity, and the opportunity for creativity. Through a mixed-methods design, the rubric was refined to include expert-informed modifications and validated through end-user application across various arts and humanities courses. Results highlight how assessment design can either mitigate or exacerbate GenAI susceptibility, revealing that tasks requiring genuine collaboration, creative thinking, and process-oriented evaluation offer greater resistance to AI manipulation. The rubric also emphasises balancing detailed guidance with student autonomy to avoid facilitating GenAI prompt formulation. This study contributes to the field by offering a practical instrument that promotes more robust, ethically sound, and future-proofed assessment practices. It serves as a critical response to the pressing challenges posed by GenAI in higher education and informs ongoing discourse on academic integrity. © 2025. Peter Bannister, Alexandra Santamaría Urbieta and Nuria Brufau Alvira.","Academic integrity; assessment design; generative ai; higher education; susceptibility rubric","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105007871614"
"Wang, Y.; Zhang, T.; Yao, L.; Seedhouse, P.","Wang, Yiyin (59937076500); Zhang, Tiancheng (59449490600); Yao, Le (59734164000); Seedhouse, Paul (6603649204)","59937076500; 59449490600; 59734164000; 6603649204","A scoping review of empirical studies on generative artificial intelligence in language education","2025","Innovation in Language Learning and Teaching","","","","","","14","10.1080/17501229.2025.2509759","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007821922&doi=10.1080%2F17501229.2025.2509759&partnerID=40&md5=b5b23987306a9539f8aee7ddc6899143","Purpose:Artificial Intelligence (AI) has long played a crucial role in language education, and the emergence of Generative AI (GAI) is set to further enhance this impact. However, comprehensive reviews of high-quality empirical research on GAI in language education are lacking. Design: To fill this gap, the current study analyzed 43 empirical studies published in SSCI journals from 2022 to 2024, focusing on contextual, technological, theoretical characteristics as well as research objectives. Findings and Originality: The findings reveal both progress and ongoing challenges in GAI research. Contextually, most of the selected studies concentrated on English language teaching and learning, particularly among Chinese learners and teachers in higher education, with a strong emphasis on writing skills. Technologically, previous studies exhibited a notable overreliance on ChatGPT, insufficient details on GAI versions, and inadequate reporting of GAI prompts. Theoretically, 46.5% of the selected studies did not specify a clear framework, while those that did mainly drew from psychological, technological, and social theories. As for research objectives, 41.9% of the selected studies examined users' perceptions, while the rest evaluated AI impact, explored AI practice, and compared AI performance against other tools.This review concludes with six key recommendations to advance GAI research in language education: (1) Expand participant diversity; (2) Explore AI models beyond ChatGPT; (3) Examine prompt patterns to enhance AI literacy; (4) Integrate theoretical frameworks in GAI research; (5) Investigate cross-validation skills for enhanced critical thinking; (6) Leverage GAI's multimodal capabilities to explore language skills beyond writing. © 2025 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","empirical studies; Generative artificial intelligence; language education; scoping review; SSCI journals","","Review","aip","","Scopus","2-s2.0-105007821922"
"Cutillas, A.L.","Cutillas, Anesito L. (58561009500)","58561009500","Generative AI as a catalyst for instruction in higher education: A study on relevance and effectiveness","2025","Environment and Social Psychology","10","4","3185","","","3","10.59429/esp.v10i4.3185","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007637689&doi=10.59429%2Fesp.v10i4.3185&partnerID=40&md5=4137cd3ec599c7077651873dee84bdd0","Technologies such as ChatGPT have brought new opportunities for individualized learning, automated assessments, and student engagement. The introduction of generative AI in education has represented a momentous shift in the way that teaching and learning processes are handled. This exploratory paper discussed the implications of generative AI in higher education. Higher education teachers (n=15) from Visayas, Philippines were purposively sampled to be interviewed about their experiences in using ChatGPT in the classroom. Narratives were collected to deconstruct how generative AI could shape and transform learning experiences in the classroom. Findings indicated that college teachers were primarily positive about the applications of generative AI in higher education. Teachers reported that AI-enabled technologies improved the efficiency and interactivity of lessons, helping students better understand complex topics through personalized, real-time feedback and simulations. AI was also found to inspire creativity, with students developing unique ideas and presenting their work more critically and innovatively. However, concerns were raised about the potential overreliance on AI, with some educators worried it could diminish their role and lead to a dilution of students’ learning experiences. There were also concerns about the possible devaluation of human creativity and critical thinking in favor of algorithmic logic. To address these issues, the study underscored the need for comprehensive training and policy development to ensure AI is used ethically and effectively, complementing human educators rather than replacing them. The findings emphasized the importance of ethically integrating the potential of generative AI to preserve the fundamental values of education and human development. © 2025 by author(s).","curriculum; generative AI; higher education; perception","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105007637689"
