episode_num,timestamp,source,bundle_id,n_questions,n_correct,accuracy,read_explanation,explanation_duration_s,watched_lecture,lecture_duration_s,is_adaptive_offer,skill_tags
118,1554975126899,sprint,b2443,1,1,1.00,True,60.429,False,0,False,115
119,1555018958742,sprint,b448,0,0,,False,0,False,0,False,
120,1555019008053,sprint,b448,0,0,,False,0,False,0,False,
121,1555019110172,sprint,b1234,1,0,0.00,True,84.131,False,0,False,183;24;48;184
122,1555019216391,sprint,b902,1,1,1.00,True,67.186,False,0,False,181;46;47;30;184
123,1555019307049,sprint,b1224,1,1,1.00,True,43.1,False,0,False,185;184;42;30;34
124,1555019395920,sprint,b1224,0,0,,False,0,False,0,False,
125,1555019505297,sprint,b729,1,1,1.00,True,87.819,False,0,False,36;181;27;37;183
126,1555019616888,sprint,b1101,1,1,1.00,True,54.949,False,0,False,185;24;181;27;26
127,1555019696338,sprint,b294,1,1,1.00,True,18.512,False,0,False,182;24;43;183
128,1555019736050,sprint,b502,1,1,1.00,True,53.952,False,0,False,181;34;182;42
129,1555019811486,sprint,b406,1,1,1.00,True,25.099,False,0,False,181;46;47;183
130,1555019859977,sprint,b1390,1,1,1.00,True,60.261,False,0,False,35;181;34;179;183
131,1555020014329,sprint,b1390,0,0,,True,16.285,False,0,False,
132,1555020211089,sprint,b1104,1,0,0.00,True,99.789,False,0,False,181;24;43;183
133,1555020338599,sprint,b330,1,1,1.00,True,60.369,False,0,False,35;185;34;183
134,1555020424334,sprint,b1316,1,0,0.00,True,45.73,False,0,False,185;29;28;30;184
135,1555020532442,sprint,b6236,2,1,0.50,True,82.153,False,0,False,77
136,1555047091499,sprint,b2720,1,0,0.00,True,204.609,False,0,False,118
137,1555048122462,sprint,b5073,1,1,1.00,True,217.907,False,0,False,95
138,1555048445938,sprint,b3992,1,0,0.00,True,114.101,False,0,False,106
139,1555048582857,sprint,b6881,1,1,1.00,True,127.573,False,0,False,94
140,1555048729642,sprint,b4436,1,1,1.00,True,103.404,False,0,False,98
141,1555048896526,sprint,b4868,1,1,1.00,True,117.512,False,0,False,117
142,1555049072039,sprint,b2224,1,1,1.00,True,88.126,False,0,False,126
143,1555049184959,sprint,b6283,1,1,1.00,True,92.86,False,0,False,72
144,1555049352094,sprint,b3865,1,0,0.00,True,144.6,False,0,False,116
145,1555049583366,sprint,b3949,1,1,1.00,True,178.823,False,0,False,133
146,1555049816442,sprint,b3025,1,1,1.00,True,173.951,False,0,False,116
147,1555050063264,sprint,b7653,1,1,1.00,True,101.56,False,0,False,76
148,1555050188896,sprint,b3306,1,1,1.00,True,118.683,False,0,False,88
149,1555050336821,sprint,b3595,1,1,1.00,True,166.503,False,0,False,117
150,1555050810134,sprint,b4195,1,1,1.00,True,67.478,False,0,False,120
151,1555050888550,sprint,b6180,1,1,1.00,True,72.846,False,0,False,111
152,1555051011732,sprint,b5149,1,1,1.00,True,30.593,False,0,False,76
153,1555056040137,sprint,b3928,1,1,1.00,True,1.577,False,0,False,133
154,1555056070250,sprint,b4311,1,1,1.00,True,0.73,False,0,False,107
155,1555056134977,sprint,b5874,1,1,1.00,True,15.943,False,0,False,77
156,1555056179143,sprint,b5081,1,0,0.00,True,18.727,False,0,False,119
157,1555056240145,sprint,b3572,1,0,0.00,True,62.021,False,0,False,134
158,1555056330697,sprint,b5166,1,1,1.00,True,53.952,False,0,False,83
159,1555056423287,sprint,b6469,1,1,1.00,True,21.041,False,0,False,76
160,1555056473908,sprint,b3034,1,0,0.00,True,29.787,False,0,False,74
161,1555056543865,sprint,b4717,1,1,1.00,True,45.852,False,0,False,145
162,1555056606522,sprint,b4728,1,1,1.00,True,30.241,False,0,False,120
163,1555056659380,sprint,b6887,2,1,0.50,True,30.511,False,0,False,94
164,1555056707546,sprint,b4788,1,0,0.00,True,91.369,False,0,False,78
165,1555056827134,sprint,b4694,1,0,0.00,True,83.228,False,0,False,80
166,1555056922846,sprint,b2840,2,1,0.50,True,30.433,False,0,False,114
167,1555056991195,sprint,b7300,2,1,0.50,True,16.857,False,0,False,77
168,1555057047901,sprint,b2577,1,1,1.00,True,54.168,False,0,False,133
169,1555057124964,sprint,b4703,1,0,0.00,True,55.266,False,0,False,96
170,1555057216946,sprint,b4860,1,0,0.00,True,46.5,False,0,False,94
171,1555057295250,sprint,b7543,1,1,1.00,True,7.637,False,0,False,77
172,1555057323358,sprint,b2233,1,0,0.00,True,14.533,False,0,False,85
173,1555058320309,sprint,b2488,1,1,1.00,True,45.183,False,0,False,76
174,1555058413264,sprint,b2356,1,1,1.00,True,56.228,False,0,False,86
175,1555058506224,sprint,b6476,1,0,0.00,True,15.31,False,0,False,85
176,1555058700587,sprint,b4230,1,0,0.00,True,20.568,False,0,False,77
177,1555058745216,sprint,b2667,1,0,0.00,True,38.046,True,44.017,False,77
178,1555208931566,sprint,b10,1,1,1.00,True,61.851,False,0,False,7;182;17
179,1555209020777,sprint,b8299,1,1,1.00,True,21.296,False,0,False,2;185;16
180,1555209066606,sprint,b5563,1,1,1.00,True,68.54,False,0,False,7;6;183
181,1555209164744,sprint,b40,1,1,1.00,True,43.147,False,0,False,7;11;181
182,1555209236847,sprint,b150,1,0,0.00,True,98.596,False,0,False,2;5;182
183,1555210942769,sprint,b3027,1,0,0.00,True,110.411,False,0,False,114
184,1555211097355,sprint,b7270,1,1,1.00,True,16.257,False,0,False,85
185,1555211138537,sprint,b3811,1,1,1.00,True,24.425,True,254.736,False,93
186,1555213653716,adaptive_offer,b4230,1,1,1.00,True,24.362,False,0,True,77
187,1555213697305,adaptive_offer,b2667,1,1,1.00,True,18.795,False,0,True,77
188,1555213787068,sprint,b4002,1,1,1.00,True,45.344,False,0,False,103
189,1555213888182,sprint,b4726,1,1,1.00,True,45.502,False,0,False,123
190,1555213955199,sprint,b7502,1,1,1.00,True,61.576,False,0,False,83
191,1555214039899,sprint,b4194,1,1,1.00,True,67.025,False,0,False,87
192,1555214149873,sprint,b3046,1,1,1.00,True,100.247,False,0,False,79
193,1555214272237,sprint,b2448,1,0,0.00,True,94.022,False,0,False,101
194,1555214389953,sprint,b6771,1,1,1.00,True,57.773,False,0,False,120
195,1555214487624,sprint,b3346,2,1,0.50,True,73.288,False,0,False,77
196,1555214602540,sprint,b4753,1,1,1.00,True,86.382,False,0,False,99
197,1555214713309,sprint,b4659,1,0,0.00,True,91.436,False,0,False,73
198,1555214850346,sprint,b6715,1,1,1.00,True,258.516,False,0,False,79
199,1555215144473,sprint,b4775,1,0,0.00,True,91.092,False,0,False,100
200,1555215284747,sprint,b3945,1,1,1.00,True,67.935,False,0,False,133
201,1555215431961,sprint,b3778,1,1,1.00,True,19.168,False,0,False,123
202,1555217049141,sprint,b7676,1,0,0.00,True,91.463,False,0,False,94
203,1555217212350,sprint,b3987,1,1,1.00,True,67.617,False,0,False,96
204,1555217317318,sprint,b3868,1,1,1.00,True,115.877,False,0,False,92
205,1555217482916,sprint,b5057,1,0,0.00,True,218.144,False,0,False,124
206,1555217774004,sprint,b6764,1,1,1.00,True,41.501,False,0,False,90
207,1555223379114,sprint,b2572,1,0,0.00,True,10.89,True,675.229,False,81
208,1555224102433,adaptive_offer,b2572,1,1,1.00,True,107.782,False,0,True,81
209,1555224242703,adaptive_offer,b2575,1,0,0.00,True,17.055,False,0,True,81
210,1555224431946,sprint,b4581,3,1,0.33,True,120.547,False,0,False,103
211,1555224650520,sprint,b2849,1,0,0.00,True,14.142,True,286.92,False,100
212,1555225062583,adaptive_offer,b2849,1,1,1.00,True,125.286,False,0,True,100
213,1555225240703,adaptive_offer,b4775,1,1,1.00,True,66.991,False,0,True,100
214,1555225519568,sprint,b7325,1,1,1.00,True,70.71,False,0,False,76
215,1555225619973,sprint,b3774,1,1,1.00,True,107.965,False,0,False,140
216,1555225903058,sprint,b3950,1,0,0.00,True,11.547,True,412.456,False,78
217,1555226372452,adaptive_offer,b4788,1,1,1.00,True,57.385,False,0,True,78
218,1555226456143,adaptive_offer,b3950,1,0,0.00,True,101.818,False,0,True,78
219,1555226731896,sprint,b3376,1,0,0.00,True,46.767,False,0,False,121
220,1555226970802,sprint,b6119,1,1,1.00,True,21.822,False,0,False,85
221,1555227013599,sprint,b3134,1,0,0.00,True,152.84,False,0,False,72
222,1555227234880,sprint,b4079,1,1,1.00,True,31.752,False,0,False,80
223,1555227307587,sprint,b3200,1,1,1.00,True,94.771,False,0,False,71
224,1555227429457,sprint,b7408,1,1,1.00,True,72.096,False,0,False,76
225,1555227599901,sprint,b4721,1,1,1.00,True,82.958,False,0,False,97
226,1555227723618,sprint,b2857,1,0,0.00,True,76.375,False,0,False,76
227,1555227866295,sprint,b4302,1,0,0.00,True,69.112,False,0,False,108
228,1555228040458,sprint,b7603,1,1,1.00,True,83.741,False,0,False,132
229,1555228142357,sprint,b3008,1,1,1.00,True,123.206,False,0,False,111
230,1555228427114,sprint,b2230,1,0,0.00,True,12.068,True,349.603,False,124
231,1555228822496,adaptive_offer,b2230,1,1,1.00,True,6.941,False,0,True,124
232,1555228838764,adaptive_offer,b5057,1,1,1.00,True,7.081,False,0,True,124
233,1555228942095,sprint,b4859,1,1,1.00,True,51.462,False,0,False,94
234,1555229017042,sprint,b5989,1,1,1.00,True,26.168,False,0,False,77
235,1555229063958,sprint,b2978,1,1,1.00,True,65.587,False,0,False,98
236,1555229153241,sprint,b2554,1,0,0.00,True,10.457,True,317.298,False,106
237,1555275777945,adaptive_offer,b3992,1,1,1.00,True,30.762,False,0,True,106
238,1555275827046,adaptive_offer,b2554,1,1,1.00,True,17.611,False,0,True,106
239,1555275934529,sprint,b4227,1,1,1.00,True,90.2,False,0,False,123
240,1555276059625,sprint,b7340,1,1,1.00,True,49.273,False,0,False,83
241,1555276144351,sprint,b3770,1,1,1.00,True,9.685,False,0,False,138
242,1555276284278,sprint,b3329,1,1,1.00,True,59.23,False,0,False,98
243,1555276383530,sprint,b3640,1,0,0.00,True,6.936,True,366.144,False,76
244,1555276804199,adaptive_offer,b2857,1,1,1.00,True,60.054,False,0,True,76
245,1555276883907,adaptive_offer,b3640,1,1,1.00,True,8.788,False,0,True,76
246,1555276978282,sprint,b7357,1,1,1.00,True,25.204,False,0,False,83
247,1555277034913,sprint,b4571,1,1,1.00,True,71.046,False,0,False,106
248,1555277166861,sprint,b5137,1,1,1.00,True,8.542,False,0,False,77
249,1555277193315,sprint,b4692,1,0,0.00,True,63.603,False,0,False,92
250,1555277555677,sprint,b6315,1,1,1.00,True,37.356,False,0,False,92
251,1555277614247,sprint,b3551,1,0,0.00,True,2.21,False,0,False,74
252,1555279478956,adaptive_offer,b3034,1,1,1.00,True,14.957,False,0,True,74
253,1555279504926,adaptive_offer,b3551,1,1,1.00,True,6.337,False,0,True,74
254,1555279550174,sprint,b3584,2,1,0.50,True,49.612,False,0,False,107
255,1555279637921,sprint,b3331,3,2,0.67,True,48.45,False,0,False,107
256,1555279801577,sprint,b6740,1,1,1.00,True,50.161,False,0,False,144
257,1555279865396,sprint,b6017,1,0,0.00,True,69.057,False,0,False,73
258,1555279980894,sprint,b2316,1,1,1.00,True,75.858,False,0,False,106
259,1555280091970,sprint,b4993,1,1,1.00,True,21.978,False,0,False,76
260,1555280140540,sprint,b6219,1,1,1.00,True,9.588,False,0,False,76
261,1555295474761,sprint,b4206,1,1,1.00,True,16.078,False,0,False,121
262,1555295507966,sprint,b4601,1,1,1.00,True,12.103,False,0,False,87
263,1555295549145,sprint,b4528,1,1,1.00,True,23.017,False,0,False,104
264,1555295614897,sprint,b6702,2,1,0.50,True,28.733,False,0,False,109
265,1555302207053,sprint,b8078,1,1,1.00,True,66.697,False,0,False,2;15;184
266,1555302301486,sprint,b195,2,1,0.50,True,57.562,False,0,False,185;20;21
267,1555316677213,adaptive_offer,b150,1,1,1.00,True,6.942,False,0,True,2;5;182
268,1555316727111,sprint,b5545,1,1,1.00,True,27.365,False,0,False,7;11;183
269,1555316780302,sprint,b60,1,1,1.00,True,34.123,False,0,False,2;182;179;14
270,1555316840662,sprint,b8264,1,1,1.00,True,25.211,False,0,False,7;11;184
271,1555316910502,sprint,b259,1,0,0.00,True,7.194,False,0,False,25;24;182;183
272,1555317135439,adaptive_offer,b312,1,1,1.00,True,5.03,False,0,True,25;24;181;23;183
273,1555317159167,adaptive_offer,b259,1,1,1.00,True,6.277,False,0,True,25;24;182;183
274,1555317225766,sprint,b856,1,1,1.00,True,53.965,False,0,False,185;181;29;28;30
275,1555317299652,sprint,b984,1,0,0.00,True,7.498,True,27.436,False,33;24;184;183
276,1555329991352,sprint,b984,0,0,,False,0,False,0,False,
277,1555330078635,sprint,b878,1,1,1.00,True,39.097,False,0,False,24;181;51;26;183
278,1555330139203,sprint,b1030,1,1,1.00,True,78.619,False,0,False,35;185;34;184
279,1555330242356,sprint,b245,1,0,0.00,True,84.11,False,0,False,185;25;24;183
280,1555330351034,sprint,b652,1,0,0.00,True,60.481,False,0,False,31;32;182;183
281,1555330435538,sprint,b927,1,1,1.00,True,24.908,False,0,False,35;182;184;34;179
282,1555330480351,sprint,b732,1,0,0.00,True,98.766,False,0,False,181;36;185;37
283,1555330607400,sprint,b1112,1,0,0.00,True,93.456,False,0,False,185;24;40;183
284,1555330722142,sprint,b998,1,0,0.00,True,73.802,False,0,False,24;43;184;183
285,1555330927569,sprint,b998,0,0,,False,0,False,0,False,
286,1555330952669,sprint,b1327,1,1,1.00,True,110.986,False,0,False,181;185;24;43
287,1555331084892,sprint,b1319,1,0,0.00,True,41.643,False,0,False,185;26;24;183
288,1555331149032,sprint,b600,1,1,1.00,True,45.798,False,0,False,24;181;33;23;184
289,1555331217534,sprint,b271,1,1,1.00,True,83.928,False,0,False,182;36;37;183
290,1555331326905,sprint,b952,1,1,1.00,True,126.592,False,0,False,24;51;182;26;183
291,1555331483774,sprint,b427,2,1,0.50,True,136.373,False,0,False,185;24;40;183
292,1555331644259,sprint,b526,1,1,1.00,True,189.098,False,0,False,185;29;28;183
293,1555331855651,sprint,b583,1,1,1.00,True,60.92,False,0,False,45;182;30;184;44
294,1555331938522,sprint,b758,1,1,1.00,True,57.986,False,0,False,182;42;30;34;183
295,1555332017262,sprint,b633,1,1,1.00,True,21.917,False,0,False,29;182;28;30;184
296,1555332060356,sprint,b725,1,1,1.00,True,4.44,False,0,False,31;32;183;185
297,1555332441401,sprint,b725,0,0,,False,0,False,0,False,
298,1555332518696,sprint,b387,1,1,1.00,True,113.477,False,0,False,35;181;185;34
299,1555332656152,sprint,b739,1,0,0.00,True,44.434,False,0,False,25;24;181;182;30
300,1555332724044,sprint,b1361,1,1,1.00,True,55.03,False,0,False,181;25;24;183
301,1555332803981,sprint,b938,1,1,1.00,True,23.639,False,0,False,182;36;184;37
302,1555332849922,sprint,b291,1,1,1.00,True,18.95,False,0,False,181;24;182;41
303,1555332888972,sprint,b921,1,1,1.00,True,16.195,False,0,False,181;39;184;38
304,1555333762028,sprint,b3011,1,1,1.00,True,5.622,False,0,False,99
305,1555334071544,sprint,b5152,1,1,1.00,True,7.268,False,0,False,104
306,1555334093214,sprint,b4863,1,1,1.00,True,57.571,False,0,False,94
307,1555334169648,sprint,b7604,2,1,0.50,True,13.494,False,0,False,132
308,1555334207888,sprint,b3563,1,0,0.00,True,54.453,False,0,False,144
309,1555343930593,sprint,b5124,1,1,1.00,True,174.889,False,0,False,143
310,1555344260663,sprint,b5218,1,1,1.00,True,209.767,False,0,False,179;143
311,1555344731183,sprint,b5198,1,0,0.00,True,97.349,False,0,False,143
312,1555346476531,sprint,b7952,1,0,0.00,True,208.793,False,0,False,124
313,1555347004332,sprint,b5186,1,0,0.00,True,209.916,False,0,False,75
314,1555347424333,sprint,b5211,1,1,1.00,True,28.932,False,0,False,77;179
315,1555361832816,sprint,b223,1,1,1.00,True,20.178,False,0,False,36;185;37;183
316,1555361875191,sprint,b973,1,1,1.00,True,97.171,False,0,False,29;184;28;183
317,1555361996674,sprint,b1394,1,1,1.00,True,131.085,False,0,False,35;181;34;184
318,1555362149891,sprint,b1250,1,1,1.00,True,107.61,False,0,False,185;24;41;183
319,1555362280386,sprint,b1115,1,1,1.00,True,123.734,False,0,False,50;185;24;184
320,1555362432526,sprint,b1370,1,1,1.00,True,52.142,False,0,False,31;181;32;182
321,1555362506131,sprint,b1261,1,0,0.00,True,8.813,True,153.371,False,185;35;184;30;34
322,1555362700843,adaptive_offer,b1261,1,1,1.00,True,193.138,False,0,True,185;35;184;30;34
323,1555362920995,adaptive_offer,b448,1,1,1.00,True,139.236,False,0,True,185;35;30;34;179;183
324,1555363541043,adaptive_offer,b448,0,0,,True,83.739,False,0,True,
325,1555363779583,sprint,b1119,2,1,0.50,True,68.812,False,0,False,35;181;184;30;34
326,1555364109898,sprint,b1119,0,0,,False,0,False,0,False,
327,1555364153781,sprint,b546,1,1,1.00,True,50.275,False,0,False,35;182;30;34;183
328,1555364229844,sprint,b1384,1,1,1.00,False,0,False,0,False,45;181;182;30;44
329,1555364279399,sprint,b1203,1,1,1.00,True,41.457,False,0,False,185;24;43;30;183
330,1555364345259,sprint,b1203,0,0,,True,64.189,False,0,False,
331,1555371891674,sprint,b594,1,1,1.00,True,104.819,False,0,False,50;181;24;184
332,1555372017899,sprint,b1368,1,1,1.00,True,42.441,False,0,False,24;181;33;30;183
333,1555372083183,sprint,b1187,1,1,1.00,True,53.65,False,0,False,31;32;30;184;183
334,1555372159506,sprint,b1175,1,1,1.00,False,0,False,0,False,182;27;184;42;34
